Date,_Ones,Ref 1D Twr,Loc 1D Twr,Ref 2BD AvgTwr,Loc 2BD AvgTwr,Ref 7D AvgTwr,Loc 7D AvgTwr,Ref 7D Vol,Ref 7D Sharpe,Ref 7D PosPercent,Ref 7D VeryPosPercent,Loc 7D Vol,Loc 7D Sharpe,Loc 7D PosPercent,Loc 7D VeryPosPercent,Bch Ref Next1BD IsTwrPositive,Bch Ref Next1BD IsTwrVeryPositive
2011-02-01,1,0.016244,0.014463,0.009705,0.010080,0.001580,0.001984,0.011100,0.142400,0.800000,0.200000,0.009500,0.208200,0.600000,0.400000,0,0
2011-02-02,1,-0.004955,-0.001135,0.005589,0.006634,-0.000101,0.000697,0.011300,-0.008900,0.600000,0.200000,0.009400,0.073900,0.400000,0.400000,1,1
2011-02-03,1,0.014486,0.003834,0.004719,0.001347,0.002080,0.001678,0.012800,0.162900,0.600000,0.400000,0.009500,0.177500,0.600000,0.400000,1,1
2011-02-04,1,0.010581,0.000707,0.012532,0.002270,0.007882,0.004703,0.007800,1.005200,0.800000,0.600000,0.005400,0.867100,0.800000,0.400000,1,1
2011-02-07,1,0.005669,0.005301,0.008122,0.003002,0.008376,0.004620,0.007600,1.101500,0.800000,0.800000,0.005400,0.853800,0.800000,0.200000,1,0
2011-02-08,1,0.004216,0.003797,0.004942,0.004549,0.005978,0.002498,0.006600,0.908900,0.800000,0.600000,0.002400,1.060700,0.800000,0.000000,0,0
2011-02-09,1,-0.000277,-0.003502,0.001967,0.000141,0.006922,0.002023,0.005100,1.350700,0.800000,0.600000,0.003100,0.643200,0.800000,0.000000,1,0
2011-02-10,1,0.00367,-0.002249,0.001694,-0.002876,0.004766,0.000805,0.003500,1.358100,0.800000,0.400000,0.003400,0.238300,0.600000,0.000000,1,1
2011-02-11,1,0.00877,0.002959,0.006216,0.000351,0.004405,0.001255,0.002900,1.499600,0.800000,0.400000,0.003500,0.360400,0.600000,0.000000,1,0
2011-02-14,1,0.000953,0.00281,0.004854,0.002884,0.003461,0.000758,0.003100,1.105000,0.800000,0.200000,0.003000,0.251400,0.600000,0.000000,0,0
2011-02-15,1,-0.004128,-0.001401,-0.001591,0.000702,0.001788,-0.000280,0.004300,0.416300,0.600000,0.200000,0.002700,-0.105100,0.400000,0.000000,1,1
2011-02-16,1,0.007134,0.006874,0.001487,0.002728,0.003269,0.001793,0.004600,0.711900,0.800000,0.400000,0.003300,0.541800,0.600000,0.200000,0,0
2011-02-17,1,-0.011294,0.005852,-0.002122,0.006363,0.000260,0.003415,0.007400,0.035200,0.600000,0.400000,0.002900,1.182800,0.800000,0.400000,1,0
2011-02-18,1,0.001696,0.001801,-0.004820,0.003824,-0.001147,0.003183,0.006200,-0.184700,0.600000,0.200000,0.003000,1.075200,0.800000,0.400000,0,0
