Date,Ref CumulTwr,Loc 1D TwrPrice,Ref 1D TwrPrice,Loc 2BD TwrPrice,Ref 2BD TwrPrice,Loc 7D TwrPrice,Ref 7D TwrPrice,Ref 7D Vol,Ref 7D Sharpe,Ref 7D PosPercent,Ref 7D VeryPosPercent,Loc 7D Vol,Loc 7D Sharpe,Loc 7D PosPercent,Loc 7D VeryPosPercent,Ref 7D&Next1BD TwrPriceFloor,Ref 7D&Next7D TwrPrice_Floor
01.02.2011,1.016244,1.014463,1.016244,1.020262,1.019504,1.009957,1.007923,0.0111,0.1424,0.8,0.2,0.0095,0.2082,0.6,0.4,1.001,1.027
02.02.2011,1.011208511,0.998865,0.995045,1.013311,1.011208,1.003492,0.999494,0.0113,-0.0089,0.6,0.2,0.0094,0.0739,0.4,0.4,1.0029,1.0384
03.02.2011,1.025856877,1.003834,1.014486,1.002695,1.009459,1.008417,1.010443,0.0128,0.1629,0.6,0.4,0.0095,0.1775,0.6,0.4,1.0139,1.0345
04.02.2011,1.036711469,1.000707,1.010581,1.004544,1.02522,1.023735,1.040037,0.0078,1.0052,0.8,0.6,0.0054,0.8671,0.8,0.4,1.0211,1.0347
07.02.2011,1.042588586,1.005301,1.005669,1.006013,1.01631,1.023313,1.042589,0.0076,1.1015,0.8,0.8,0.0054,0.8538,0.8,0.2,1.0459,1.0631
08.02.2011,1.04698414,1.003797,1.004216,1.009119,1.009909,1.012554,1.030249,0.0066,0.9089,0.8,0.6,0.0024,1.0607,0.8,0,1.0469,1.0607
09.02.2011,1.046694125,0.996498,0.999723,1.000281,1.003938,1.010154,1.035093,0.0051,1.3507,0.8,0.6,0.0031,0.6432,0.8,0,1.0299,1.0394
10.02.2011,1.050535493,0.997751,1.00367,0.994256,1.003392,1.004032,1.024056,0.0035,1.3581,0.8,0.4,0.0034,0.2383,0.6,0,1.0388,1.0521
11.02.2011,1.059748689,1.002959,1.00877,1.000703,1.012472,1.006291,1.022221,0.0029,1.4996,0.8,0.4,0.0035,0.3604,0.6,0,1.033,1.0253
14.02.2011,1.060758629,1.00281,1.000953,1.005777,1.009731,1.003797,1.017428,0.0031,1.105,0.8,0.2,0.003,0.2514,0.6,0,1.0231,1.0163
